yyww,cmkt,csize,cmom,return,risk-free
201617,-0.014,-0.024,-0.025,-0.001546566,0.203
201618,0.024,-0.059,-0.142,0.009576893,0.243
201619,0.014,-0.011,0.005,-0.001993704,0.268
201620,0.014,-0.014,0.158,-0.012354098,0.343
201621,0.007,-0.06,0.069,0.072505479,0.283
201622,0.165,-0.078,0.083,0.037899012,0.265
201623,0.063,0.081,0.029,0.014632137,0.263
201624,0.333,-0.054,0.002,0.105227968,0.265
201625,-0.202,0.097,0.23,-0.055415206,0.26
201626,0.065,0.244,0.367,0.022076711,0.238
201627,-0.062,0.054,0.006,-0.029803282,0.295
201628,0.056,-0.016,0.116,0.005889951,0.31
201629,0.015,0.012,-0.132,-0.003630418,0.308
201630,-0.02,-0.032,-0.056,-0.000331548,0.28
201631,-0.117,-0.014,-0.079,-0.047774324,0.293
201632,0.015,0.052,0.175,-0.001409205,0.288
201633,-0.025,0.066,0.017,-0.001488331,0.305
201634,0.002,-0.132,0.025,-0.009267109,0.325
201635,0,0.088,0.125,0.02117842,0.303
201636,0.077,0.156,0.388,0.018250651,0.345
201637,-0.018,0.04,0.021,-0.01227221,0.288
201638,-0.011,-0.061,-0.028,-0.003231106,0.255
201639,0.015,0.133,0.099,0.007714644,0.315
201640,-0.001,-0.077,-0.07,0.00303383,0.32
201641,0.022,-0.029,0.28,0.013361831,0.333
201642,-0.007,0.034,0.091,0.012433264,0.325
201643,0.066,-0.103,0.168,0.037733346,0.345
201644,-0.012,-0.055,0.003,-0.007907069,0.42
201645,0.034,-0.035,-0.027,0.001358715,0.488
201646,0.025,-0.079,0.061,0.026085845,0.475
201647,-0.009,-0.066,0.086,-0.008088309,0.468
201648,0.013,0.197,0.008,0.017451809,0.485
201649,0.015,-0.025,0.005,0.005533927,0.523
201650,0.007,0.021,0.066,0.007344125,0.513
201651,0.097,-0.054,0.243,0.053841358,0.495
201652,0.074,-0.105,-0.067,0.033880198,0.475
201701,-0.042,0.216,-0.119,-0.070204692,0.503
201702,-0.089,0.079,-0.039,0.050091456,0.513
